time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-16 00:00:00+00:00,9,4,5,4
2026-07-17 00:00:00+00:00,13,8,14,8
2026-07-18 00:00:00+00:00,13,4,15,10
2026-07-19 00:00:00+00:00,15,6,3,3
2026-07-20 00:00:00+00:00,3,3,4,4
2026-07-21 00:00:00+00:00,18,8,10,7
2026-07-22 00:00:00+00:00,14,9,15,9
2026-07-23 00:00:00+00:00,3,3,7,6
2026-07-24 00:00:00+00:00,10,5,11,5
2026-07-25 00:00:00+00:00,3,3,13,4
2026-07-26 00:00:00+00:00,5,5,14,11
2026-07-27 00:00:00+00:00,9,4,13,7
2026-07-28 00:00:00+00:00,4,4,2,2
2026-07-29 00:00:00+00:00,19,5,15,6
