time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-05 00:00:00+00:00,79,21,111,6
2025-09-06 00:00:00+00:00,6,5,19,5
2025-09-07 00:00:00+00:00,11,9,15,7
2025-09-08 00:00:00+00:00,3,3,6,3
2025-09-09 00:00:00+00:00,3,3,44,14
2025-09-10 00:00:00+00:00,3,3,18,9
2025-09-11 00:00:00+00:00,6,6,8,4
2025-09-12 00:00:00+00:00,5,5,7,5
2025-09-13 00:00:00+00:00,6,5,4,3
2025-09-14 00:00:00+00:00,2,2,40,19
2025-09-15 00:00:00+00:00,7,6,14,6
2025-09-16 00:00:00+00:00,7,5,7,4
2025-09-17 00:00:00+00:00,1,1,18,8
2025-09-18 00:00:00+00:00,4,4,17,12
2025-09-19 00:00:00+00:00,9,5,13,12
2025-09-20 00:00:00+00:00,5,5,22,6
2025-09-21 00:00:00+00:00,5,5,14,9
2025-09-22 00:00:00+00:00,0,0,24,10
